"id","name","latitude","longitude"
1,"Samyan",13.7323496,100.5299928
2,"Si Lom",13.7292504,100.5365446
3,"Lumphini",13.7257642,100.5456664
4,"Khlong Toei",13.7222992,100.5539149
5,"Queen Sirikit NCC",13.7231519,100.5601019
6,"Sukhumvit",13.7385266,100.5614475
7,"Phetchaburi",13.7487037,100.5631241
8,"Phra Ram 9",13.7579217,100.5655678
9,"Thailand Cultural Centre",13.7663,100.57026
10,"Huai Khwang",13.7785142,100.5736451
11,"Sutthisan",13.7897417,100.5742012
12,"Ratchadaphisek",13.7991493,100.5746134
13,"Lat Phrao",13.8061019,100.5736521
14,"Phahon Yothin",13.8142366,100.5601484
15,"Chatuchak Park",13.8024559,100.5537385
16,"Saphan Khwai",13.7937663,100.5497095
17,"Ari",13.779689,100.544646
18,"Sanam Peo",13.772642,100.542103
19,"Victory Monument",13.762793,100.537085
20,"Phaya Thai",13.7569233,100.5338028
21,"Ratchathewi",13.7519875,100.5315773
22,"Siam",13.74561,100.53412
23,"Chit Lom",13.7440937,100.5430647
24,"Phloen Chit",13.743044,100.548974
25,"Nana",13.740523,100.555434
26,"Asok",13.7370587,100.5603061
27,"Phayathai",13.7567379,100.5348422
28,"Ratchaprarop",13.7550222,100.5421223
29,"Makkasan",13.7508355,100.5613375
30,"Ramkhamhaeng",13.7429994,100.6001502
31,"Hua Mak",13.7381496,100.6401853
32,"National Stadium",13.746473,100.529073
33,"Ratchadamri",13.73945,100.53944
34,"Sala Daeng BTS Station",13.7284782,100.5341135
35,"Chong Nonsi",13.72373,100.52943
