"from","to","line","linecolor"
1,2,"Blue","#0000FF"
2,3,"Blue","#0000FF"
3,4,"Blue","#0000FF"
4,5,"Blue","#0000FF"
5,6,"Blue","#0000FF"
6,7,"Blue","#0000FF"
7,8,"Blue","#0000FF"
8,9,"Blue","#0000FF"
9,10,"Blue","#0000FF"
10,11,"Blue","#0000FF"
11,12,"Blue","#0000FF"
12,13,"Blue","#0000FF"
13,14,"Blue","#0000FF"
14,15,"Blue","#0000FF"
15,16,"Blue","#0000FF"
16,17,"Blue","#0000FF"
17,18,"Blue","#0000FF"
18,1,"Blue","#0000FF"
15,19,"Red","#FF0000"
19,20,"Red","#FF0000"
20,21,"Red","#FF0000"
21,22,"Red","#FF0000"
22,23,"Red","#FF0000"
23,4,"Red","#FF0000"
24,25,"Light Blue","#ADD8E6"
25,26,"Light Blue","#ADD8E6"
26,27,"Light Blue","#ADD8E6"
27,19,"Light Blue","#ADD8E6"
19,17,"Light Blue","#ADD8E6"
10,28,"Green","#00FF00"
28,29,"Green","#00FF00"
29,30,"Green","#00FF00"
30,22,"Green","#00FF00"
22,1,"Green","#00FF00"
2,23,"Purple","#A020F0"
23,31,"Purple","#A020F0"
31,32,"Purple","#A020F0"
32,33,"Purple","#A020F0"
33,34,"Purple","#A020F0"
34,8,"Purple","#A020F0"
13,25,"Yellow","#FFFF00"
25,35,"Yellow","#FFFF00"
35,29,"Yellow","#FFFF00"
29,32,"Yellow","#FFFF00"
32,5,"Yellow","#FFFF00"
