"id","name","latitude","longitude"
1,"Qianmen",39.900194,116.397875
2,"Chongwenmen Station",39.901061,116.417042
3,"Beijing Railway Station",39.9030039,116.4275921
4,"Jianguomen Station",39.908483,116.435783
5,"Chaoyangmen Station",39.922005,116.434372
6,"Dongsi Shitao Station",39.933669,116.434136
7,"Dongzhimen Station",39.941098,116.433552
8,"Yonghegong Station",39.949334,116.417143
9,"Andingmen Station",39.949179,116.408228
10,"Guloudajie Station",39.948972,116.393776
11,"Jishuitan Station",39.947559,116.368591
12,"Xizhimen Station",39.94048,116.355425
13,"Chegongzhuang West Station",39.932466,116.344082
14,"Fuchengmen Station",39.923691,116.354797
15,"Fuxingmen Station",39.907252,116.357641
16,"Changchunjie Station",39.894505,116.363397
17,"Xuanwumen Station",39.898204,116.375424
18,"Hepingmen Station",39.90009,116.384132
19,"Xidan Station",39.907422,116.374253
20,"Tian'anmenxi Station",39.907472,116.391278
21,"Tian'anmendong Station",39.90778,116.401216
22,"Wangfujing Station",39.908076,116.41148
23,"Dongdan Station",39.908322,116.417935
24,"Xinjiekou Station",39.9393343,116.3641073
25,"Ping'anli Station",39.933784,116.372881
26,"Xisi Station",39.924206,116.373332
27,"Lingjing Hutong Station",39.916134,116.373742
28,"Shichahai Station",39.937563,116.396247
29,"Nanluogu",39.9334746,116.4133492
30,"National Art Museum of China",39.925372,116.408987
31,"Dengshikou Station",39.917135,116.417785
32,"Dongsi Station",39.92437,116.417493
33,"Zhangzizhong Lu Station",39.933665,116.417153
34,"Benixinqiao Station",39.940809,116.416884
35,"Beihai North Station",39.933237,116.386677
