"id","name","latitude","longitude"
1,"Uhlandtrabe",52.5028649,13.3262573
2,"Kurfurstendamm",52.503436,13.3308807
3,"Wittenbergplatz",52.501839,13.343
4,"Nollendorfplatz",52.4995073,13.3533687
5,"Kurfurstenstrabe",52.499834,13.3623797
6,"Gleisreieck",52.499587,13.3742931
7,"Mockernbrucke",52.49911,13.3826502
8,"Yorckstrabe",52.4930806,13.3696171
9,"Kleistpark",52.490724,13.3601536
10,"Eisenacher Strabe",52.4895135,13.3502951
11,"Bayericher Platz",52.4883837,13.3401887
12,"Berliner Strabe",52.4871906,13.3314158
13,"Blissestrabe",52.486088,13.3203374
14,"Fehrbelliner Platz",52.490421,13.314223
15,"Konstanzer Strabe",52.4940057,13.3099909
16,"Adenauerplatz",52.4998978,13.3076167
17,"Wilmersdorfer Strabe",52.5057497,13.3070244
18,"Guntzelstrabe",52.4915412,13.3308933
19,"Spichernstrabe",52.4966119,13.3310598
20,"Berlin Zoologischer",52.5073337,13.3323673
21,"Innsbrucker Platz",52.4781075,13.3420615
22,"Rathaus Schoneberg",52.4836065,13.3418194
23,"Viktoria Luise Platz",52.4965193,13.3442499
24,"Hohenzollernplatz",52.4938879,13.3241712
25,"Augsburger Strabe",52.4996418,13.3358689
26,"Bismarckstr",52.5116895,13.3049694
27,"Ernst Reuter Platz",52.5114981,13.3221978
28,"Bulowstrabe",52.4975539,13.3634479
29,"Mendelssohn Bartholdy Park",52.5034322,13.3747403
30,"Potsdamer Platz",52.5094625,13.3788177
31,"Mohrenstr",52.5118262,13.3851871
32,"Stadtmitte",52.5111603,13.389742
33,"Kochstrabe",52.5064603,13.3905481
34,"Hallesches Tor",52.4977724,13.3908232
35,"Mehringdamm",52.4950636,13.389056
