"from","to","line","linecolor"
1,2,"Blue","#0000FF"
2,3,"Blue","#0000FF"
3,4,"Blue","#0000FF"
4,5,"Blue","#0000FF"
5,6,"Blue","#0000FF"
6,7,"Blue","#0000FF"
7,8,"Blue","#0000FF"
8,9,"Blue","#0000FF"
9,10,"Blue","#0000FF"
10,11,"Blue","#0000FF"
11,12,"Blue","#0000FF"
12,13,"Blue","#0000FF"
13,14,"Blue","#0000FF"
14,15,"Blue","#0000FF"
15,16,"Blue","#0000FF"
16,17,"Blue","#0000FF"
17,18,"Blue","#0000FF"
18,1,"Blue","#0000FF"
18,19,"Yellow","#FFFF00"
19,20,"Yellow","#FFFF00"
20,21,"Yellow","#FFFF00"
21,22,"Yellow","#FFFF00"
22,23,"Yellow","#FFFF00"
23,24,"Yellow","#FFFF00"
24,25,"Yellow","#FFFF00"
25,26,"Yellow","#FFFF00"
26,27,"Yellow","#FFFF00"
27,28,"Yellow","#FFFF00"
28,29,"Yellow","#FFFF00"
26,30,"Purple","#A020F0"
30,31,"Purple","#A020F0"
31,32,"Purple","#A020F0"
16,33,"Light Blue","#ADD8E6"
33,34,"Light Blue","#ADD8E6"
34,35,"Light Blue","#ADD8E6"
