"id","name","latitude","longitude"
1,"Gare de l'Quest",50.8480655,4.3205781
2,"Delacroix",50.845299,4.324231
3,"Clemenceau",50.8406396,4.3313118
4,"Gare du Midi",50.836258,4.33847
5,"Porte de Hal",50.833572,4.342883
6,"Hotel des Monnaies",50.833652,4.34994
7,"Louise",50.835655,4.355016
8,"Porte de Namur",50.8385991,4.3619259
9,"Trone",50.8412946,4.3665615
10,"Arts-Loi",50.845985,4.368934
11,"Madou",50.849854,4.369421
12,"Botanique",50.853573,4.366188
13,"Rogier",50.855507,4.35865
14,"Yser Metro Station",50.8572492,4.3514692
15,"Ribaucourt",50.860767,4.338509
16,"Elisabeth",50.86351,4.331065
17,"Osseghem",50.8572754,4.3252273
18,"Beekkant",50.853352,4.323113
19,"Etangs Noirs",50.856987,4.332199
20,"Comte de Flandre",50.8552531,4.3394302
21,"Sainte Catherine",50.8521583,4.3478754
22,"Centrale",50.846349,4.358776
23,"Parc",50.8465718,4.3625278
24,"Maelbeek",50.844105,4.37644
25,"Schuman",50.843239,4.381075
26,"Merode",50.8395184,4.3988042
27,"Thieffry",50.8329085,4.4018956
28,"Petillon",50.827766,4.403881
29,"Hankar",50.8214347,4.405504
30,"Montgomery",50.837486,4.407669
31,"Josephine Charlotte",50.8404644,4.4136483
32,"Gribaumont",50.8424669,4.4180097
33,"Belgica",50.867832,4.336083
34,"Pannenhuis",50.872959,4.342275
35,"Bockstael",50.879513,4.347662
