"from","to","line","linecolor"
1,2,"Orange","#FFA500"
2,3,"Orange","#FFA500"
3,4,"Orange","#FFA500"
4,5,"Orange","#FFA500"
5,6,"Orange","#FFA500"
6,7,"Orange","#FFA500"
7,8,"Orange","#FFA500"
9,10,"Orange","#FFA500"
10,11,"Orange","#FFA500"
11,5,"Orange","#FFA500"
5,12,"Orange","#FFA500"
12,13,"Orange","#FFA500"
13,14,"Orange","#FFA500"
7,15,"Dark Blue","#00008B"
15,16,"Dark Blue","#00008B"
16,17,"Dark Blue","#00008B"
17,18,"Dark Blue","#00008B"
2,19,"Light Blue","#ADD8E6"
19,11,"Light Blue","#ADD8E6"
11,6,"Light Blue","#ADD8E6"
6,20,"Light Blue","#ADD8E6"
20,21,"Light Blue","#ADD8E6"
21,22,"Light Blue","#ADD8E6"
22,23,"Light Blue","#ADD8E6"
23,24,"Light Blue","#ADD8E6"
1,25,"Green","#00FF00"
25,26,"Green","#00FF00"
26,27,"Green","#00FF00"
27,28,"Green","#00FF00"
28,29,"Green","#00FF00"
29,30,"Green","#00FF00"
30,31,"Green","#00FF00"
31,32,"Green","#00FF00"
32,33,"Green","#00FF00"
33,34,"Green","#00FF00"
34,35,"Green","#00FF00"
35,14,"Green","#00FF00"
