"id","name","latitude","longitude"
1,"Seomyeon",35.1578157,129.0600331
2,"Bujeon Station",35.161773,129.062346
3,"Yangjeong",35.173127,129.071331
4,"City Hall",35.179812,129.076651
5,"Yeonsan",35.186171,129.081563
6,"Busan Nat'L Univ. of Edu.",35.195593,129.079985
7,"Dongnae Stn",35.205597,129.078478
8,"Myeongnyun Station",35.212536,129.079665
9,"Sajik",35.198585,129.065198
10,"Sports Complex",35.191104,129.067739
11,"Geojeyeog",35.18857,129.07388
12,"Mulmangol Stn.",35.176471,129.085859
13,"Baesan",35.173509,129.095498
14,"Mangmi",35.171576,129.108118
15,"Suan",35.201771,129.08388
16,"Nangmin",35.200197,129.090908
17,"Chungnyeolsa",35.199841,129.09761
18,"Myeongjang",35.205182,129.101714
19,"Geojehaemaji",35.181263,129.069022
20,"Dongnae 2",35.197215,129.091287
21,"Allak Station",35.196028,129.100617
22,"Suyeong River Stn.",35.193616,129.114302
23,"Jaesong",35.188083,129.120071
24,"Centum Station",35.179495,129.124544
25,"Jeonpo",35.15307,129.065378
26,"Busan Int'L Finance Center-Busan Bank",35.1458086,129.0667548
27,"Munhyeon",35.139109,129.067361
28,"Jigegol",35.135594,129.074433
29,"Motgol",35.134716,129.084444
30,"Daeyeon",35.135144,129.091861
31,"Kyunsung Univ.",35.137604,129.100533
32,"Namcheon",35.141911,129.107748
33,"Geumnyeoasan",35.149863,129.110986
34,"Gwangan",35.157912,129.113145
35,"Suyeong Stn.",35.165475,129.11476
