"from","to","line","linecolor"
1,2,"Red","#FF0000"
2,3,"Red","#FF0000"
3,4,"Red","#FF0000"
4,5,"Red","#FF0000"
5,6,"Red","#FF0000"
6,7,"Red","#FF0000"
7,8,"Red","#FF0000"
8,9,"Red","#FF0000"
10,11,"Red","#FF0000"
11,12,"Red","#FF0000"
12,13,"Red","#FF0000"
13,14,"Red","#FF0000"
14,15,"Orange","#FFA500"
15,16,"Orange","#FFA500"
16,17,"Orange","#FFA500"
17,2,"Orange","#FFA500"
2,18,"Orange","#FFA500"
1,3,"Brown","#964B00"
3,6,"Brown","#964B00"
6,19,"Brown","#964B00"
19,20,"Brown","#964B00"
20,21,"Brown","#964B00"
21,22,"Brown","#964B00"
22,23,"Brown","#964B00"
23,24,"Brown","#964B00"
24,25,"Brown","#964B00"
25,26,"Brown","#964B00"
26,27,"Brown","#964B00"
26,28,"Light Green","#90EE90"
28,29,"Light Green","#90EE90"
29,30,"Light Green","#90EE90"
30,31,"Light Green","#90EE90"
31,7,"Light Green","#90EE90"
7,9,"Light Green","#90EE90"
9,22,"Light Green","#90EE90"
22,32,"Light Green","#90EE90"
33,30,"Light Blue","#ADD8E6"
30,34,"Light Blue","#ADD8E6"
34,21,"Light Blue","#ADD8E6"
21,35,"Light Blue","#ADD8E6"
35,12,"Light Blue","#ADD8E6"
