"id","name","latitude","longitude"
1,"Kwai Fong",22.3568312,114.1278151
2,"Lai King Station",22.348416,114.126161
3,"Mei Foo Station",22.3375848,114.1379836
4,"Lai Chi Kok Station",22.3368748,114.1483108
5,"Cheung Sha Wan Station",22.3356101,114.155996
6,"Sham Shui Po Station",22.3307737,114.1622668
7,"Prince Edward Station",22.3250751,114.1683898
8,"Mong Kong",22.319253,114.169355
9,"Yau Ma Tei Station",22.31283,114.17068
10,"Jordan Station",22.30479,114.17166
11,"Tsim Sha Tsui Station",22.2975719,114.1722049
12,"Admiralty Station",22.279412,114.164559
13,"Central Station",22.281953,114.1582524
14,"Hong Kong Station",22.284681,114.158177
15,"Kowloon Station",22.304306,114.161475
16,"Olympic Station",22.3178432,114.1601357
17,"Nam Cheong Station",22.3267772,114.1536799
18,"Tsing Yi Station",22.3584978,114.107672
19,"Austin Station",22.3052927,114.1661027
20,"East Tsim Sha Tsui Station",22.2948155,114.1734317
21,"Hung Hom Station",22.3033453,114.1814521
22,"Ho Man Tin Station",22.3093594,114.1827294
23,"To Kwa Wan Station",22.31731,114.1876
24,"Sung Wong Toi",22.32591,114.1913
25,"Kai Tak Station",22.33057,114.199549
26,"Diamond Hill Station",22.340017,114.201698
27,"Hin Keng Station",22.363834,114.17079
28,"Wong Tai Sin Station",22.34166,114.19385
29,"Lok Fu Station",22.338026,114.187022
30,"Kowloon Tong Station",22.3371583,114.1760929
31,"Shek Kip Mei Station",22.3321178,114.168801
32,"Whampoa Station",22.30503,114.18955
33,"Tai Wai Station",22.3727071,114.1786167
34,"Mong Kok East Station",22.32205,114.1726
35,"Exhibition Centre",22.2821415,114.175501
