"from","to","line","linecolor"
1,2,"Green","#00FF00"
2,3,"Green","#00FF00"
3,4,"Green","#00FF00"
4,5,"Green","#00FF00"
5,6,"Green","#00FF00"
6,7,"Green","#00FF00"
7,8,"Green","#00FF00"
8,9,"Green","#00FF00"
1,10,"Red","#FF0000"
10,11,"Red","#FF0000"
11,12,"Red","#FF0000"
12,13,"Red","#FF0000"
13,14,"Red","#FF0000"
14,15,"Red","#FF0000"
15,16,"Red","#FF0000"
16,9,"Red","#FF0000"
9,17,"Red","#FF0000"
17,18,"Red","#FF0000"
18,19,"Red","#FF0000"
19,20,"Red","#FF0000"
20,21,"Red","#FF0000"
21,22,"Orange","#FFA500"
22,23,"Orange","#FFA500"
23,24,"Orange","#FFA500"
24,25,"Brown","#964B00"
25,11,"Brown","#964B00"
11,26,"Brown","#964B00"
26,27,"Brown","#964B00"
27,28,"Brown","#964B00"
28,5,"Brown","#964B00"
5,29,"Brown","#964B00"
29,19,"Brown","#964B00"
19,35,"Brown","#964B00"
30,31,"Light Blue","#ADD8E6"
31,29,"Light Blue","#ADD8E6"
29,32,"Light Blue","#ADD8E6"
32,17,"Light Blue","#ADD8E6"
17,16,"Light Blue","#ADD8E6"
33,24,"Purple","#A020F0"
24,3,"Purple","#A020F0"
3,12,"Purple","#A020F0"
34,35,"Yellow","#FFFF00"
32,5,"Blue","#0000FF"
5,23,"Blue","#0000FF"
