"id","name","latitude","longitude"
1,"Ventas",40.4310986,-3.6634819
2,"Diego de Leon",40.4346327,-3.6750627
3,"Nunez de Balboa",40.4328112,-3.6831262
4,"Ruben Dario",40.4331634,-3.6891138
5,"Alonso Martinez",40.4277841,-3.6959238
6,"Chueca",40.4225963,-3.6976866
7,"Gran Via",40.4198524,-3.7016062
8,"Callao",40.4202472,-3.7057397
9,"Opera",40.4182344,-3.7093407
10,"Manuel Becerra",40.4278899,-3.6691914
11,"Goya",40.42455,-3.67591
12,"Principe de Vergara",40.4230733,-3.6797763
13,"Retiro",40.4207632,-3.6858233
14,"Banco de Espana",40.4190862,-3.6949941
15,"Sevilla",40.4179081,-3.6993395
16,"Sol",40.41688,-3.70321
17,"Santo Domingo",40.421463,-3.7078894
18,"Noviciado",40.42484,-3.70742
19,"San Bernardo",40.4298696,-3.7060568
20,"Quevedo",40.4331577,-3.7043294
21,"Canal",40.4382508,-3.7043393
22,"Alonso Cano",40.4384244,-3.6993565
23,"Gregorio Maranon",40.4380397,-3.6912419
24,"Avenida de America",40.43803,-3.67669
25,"Lista",40.42917,-3.67541
26,"Velazquez",40.4251704,-3.6828759
27,"Serrano",40.4253557,-3.686647
28,"Colon",40.42542,-3.69101
29,"Bilbao",40.42906,-3.70218
30,"Rios Rosas",40.4413675,-3.7015117
31,"Iglesia",40.4348648,-3.6987647
32,"Tribunal",40.4261494,-3.701178
33,"Cruz del Rayo",40.44427,-3.67821
34,"Moncloa",40.4345298,-3.7190834
35,"Arguelles",40.4305595,-3.7160778
