"from","to","line","linecolor"
"3","5","Red","#FF0000"
"5","16","Red","#FF0000"
"16","24","Red","#FF0000"
"24","11","Red","#FF0000"
"11","8","Red","#FF0000"
"16","17","Red","#FF0000"
"17","18","Red","#FF0000"
"18","35","Red","#FF0000"
"2","1","Green","#00FF00"
"1","6","Green","#00FF00"
"6","10","Green","#00FF00"
"10","13","Green","#00FF00"
"13","21","Green","#00FF00"
"21","29","Green","#00FF00"
"29","34","Green","#00FF00"
"36","4","Yellow","#FFFF00"
"4","9","Yellow","#FFFF00"
"9","14","Yellow","#FFFF00"
"14","20","Yellow","#FFFF00"
"20","32","Yellow","#FFFF00"
"12","15","Blue","#0000FF"
"15","23","Blue","#0000FF"
"23","19","Blue","#0000FF"
"19","30","Blue","#0000FF"
"7","12","Brown","#964B00"
"12","13","Brown","#964B00"
"13","22","Brown","#964B00"
"22","27","Brown","#964B00"
"27","28","Brown","#964B00"
"25","28","Orange","#FFA500"
"28","31","Orange","#FFA500"
"31","34","Orange","#FFA500"
"28","34","Orange","#FFA500"
"34","26","Orange","#FFA500"
