id,name,latitude,longitude
1,"Rector St.",,
2,"WTC Cortlandt",,
3,"Wall Street/William Street",,
4,"Fulton St",,
5,"Park Place",,
6,"Chambers St",,
7,"Franklen Street Station",,
8,"Canal St",,
9,"Houston St",,
10,"Bowling Green",,
11,"Wall Street Station",,
12,"Fulton St",,
13,"Brooklyn Bridge- City Hall",,
14,"Canal St",,
15,"Spring Street",,
16,"Bleeker St",,
17,"Whitehall St",,
18,"Rector St",,
19,"Cortlandt St",,
20,"City Hall Station",,
21,"Canal St",,
22,"Prince St Station",,
23,"Broad St",,
24,"Fulton St",,
25,"Bowery",,
26,"Canal St",,
27,"Chambers St-WTC Park Place",,
28,"Chambers St",,
29,"Canal Street",,
30,"Spring St.",,
31,"East Broadway",,
32,"Delancey St. Essex St",,
33,"Grand St",,
34,"2nd Avenue",,
35,"Broadway-Lafayette St",,
