"from","to","line","linecolor"
1,2,"Orange","#FFA500"
2,3,"Orange","#FFA500"
3,4,"Orange","#FFA500"
4,5,"Orange","#FFA500"
5,6,"Orange","#FFA500"
6,7,"Orange","#FFA500"
7,8,"Orange","#FFA500"
8,9,"Orange","#FFA500"
9,10,"Orange","#FFA500"
10,11,"Orange","#FFA500"
11,12,"Orange","#FFA500"
12,13,"Orange","#FFA500"
13,14,"Orange","#FFA500"
14,15,"Orange","#FFA500"
15,16,"Orange","#FFA500"
16,17,"Orange","#FFA500"
17,18,"Orange","#FFA500"
5,19,"Green","#00FF00"
19,20,"Green","#00FF00"
20,21,"Green","#00FF00"
21,22,"Green","#00FF00"
22,23,"Green","#00FF00"
23,24,"Green","#00FF00"
24,12,"Green","#00FF00"
1,25,"Blue","#0000FF"
25,26,"Blue","#0000FF"
26,27,"Blue","#0000FF"
27,28,"Blue","#0000FF"
28,29,"Blue","#0000FF"
29,30,"Blue","#0000FF"
30,31,"Blue","#0000FF"
31,18,"Blue","#0000FF"
18,32,"Blue","#0000FF"
32,33,"Blue","#0000FF"
12,34,"Yellow","#FFFF00"
34,35,"Yellow","#FFFF00"
