"id","name","latitude","longitude"
1,"Snowdon",45.4854579,-73.6278342
2,""Villa-Maria,45.479566,-73.6197816
3,"Vendome",45.4738932,-73.6037927
4,"Place Saint-Henri",45.4770963,-73.5864913
5,"Lionel-Groulx",45.4828421,-73.5797529
6,"Georges-Vanier",45.4889016,-73.5765222
7,"Lucien-L'Allier",45.4950209,-73.570934
8,"Bonaventure",45.4980335,-73.5668115
9,"Square Victoria-OACI",45.501938,-73.563118
10,"Place-d'Armes",45.505763,-73.5598763
11,"Champ-de-Mars",45.5102042,-73.5565588
12,"Station Berri-UQAM",45.515035,-73.5609806
13,"Sherbrooke",45.5183077,-73.568226
14,"Mont-Royal",45.5245343,-73.5816719
15,"Laurier",45.527117,-73.5865044
16,"Rosemont",45.5312146,-73.5977781
17,"Beaubien",45.5354839,-73.6045895
18,"Jean-Talon",45.5396134,-73.613674
19,"Atwater",45.489395,-73.584328
20,"Guy-Concordia",45.4957534,-73.5789719
21,"Peel",45.5008878,-73.5746008
22,"McGill",45.5040521,-73.5715225
23,"Place-des-Arts",45.5077911,-73.5688133
24,"Saint Laurent",45.5108515,-73.5648358
25,"Cote-des-Neiges",45.496845,-73.623383
26,"Universite-de-Montreal",45.5027292,-73.6183016
27,"Edouard-Montpetit",45.5101226,-73.6125343
28,"Outremont",45.5200857,-73.6149167
29,"Acadie",45.5234143,-73.6236832
30,"Station du Parc",45.5304521,-73.6238554
31,"De Castelnau",45.535437,-73.619873
32,"Fabre",45.5465992,-73.608098
33,"D'lberville",45.5527666,-73.6025268
34,"Jean-Drapeau",45.5124586,-73.5331452
35,"Longueuil-Universite-de-Sherbrooke",45.5248691,-73.5220194
