"from","to","line","linecolor"
1,2,"Green","#00FF00"
2,3,"Green","#00FF00"
3,4,"Green","#00FF00"
4,5,"Green","#00FF00"
5,6,"Green","#00FF00"
7,8,"Purple","#A020F0"
8,3,"Purple","#A020F0"
8,26,"Purple","#A020F0"
8,9,"Purple","#A020F0"
9,20,"Purple","#A020F0"
9,10,"Purple","#A020F0"
10,11,"Purple","#A020F0"
12,13,"Light Blue","#ADD8E6"
13,14,"Light Blue","#ADD8E6"
14,15,"Light Blue","#ADD8E6"
15,18,"Light Blue","#ADD8E6"
16,17,"Red","#FF0000"
17,18,"Red","#FF0000"
18,19,"Red","#FF0000"
19,4,"Red","#FF0000"
19,20,"Red","#FF0000"
20,21,"Red","#FF0000"
21,35,"Red","#FF0000"
21,22,"Red","#FF0000"
22,23,"Red","#FF0000"
24,25,"Grey","#808080"
25,26,"Grey","#808080"
26,27,"Grey","#808080"
27,28,"Grey","#808080"
28,29,"Grey","#808080"
11,6,"Brown","#964B00"
6,30,"Brown","#964B00"
30,33,"Brown","#964B00"
30,29,"Brown","#964B00"
33,16,"Brown","#964B00"
16,12,"Brown","#964B00"
12,31,"Brown","#964B00"
31,7,"Brown","#964B00"
31,1,"Brown","#964B00"
1,32,"Brown","#964B00"
32,24,"Brown","#964B00"
33,34,"Orange","#FFA500"
34,5,"Orange","#FFA500"
34,35,"Orange","#FFA500"
