"id","name","latitude","longitude"
1,"Belorusskaya",55.776009,37.583882
2,"Mayakovskaya",55.7703912,37.5960545
3,"Tverskaya",55.765195,37.6058401
4,"Teatralnaya",55.757535,37.619188
5,"Novokuznetskaya",55.7423809,37.6294053
6,"Paveletskaya",55.731953,37.637237
7,"Barrikadnaya",55.761124,37.579499
8,"Pushkinskaya",55.76562,37.605626
9,"Kuznetskiy Most",55.760864,37.626053
10,"Kitay-gorod",55.755198,37.633194
11,"Taganskaya",55.741414,37.6513929
12,"Kievskaya",55.744681,37.565382
13,"Smolenskaya",55.748823,37.58263
14,"Arbatskaya",55.751826,37.600904
15,"Aleksandrovskiy Sad",55.752425,37.608605
16,"Park Kultury",55.735519,37.594238
17,"Kropotkinskaya",55.745501,37.604116
18,"Biblioteka Imeni Lenina",55.751143,37.61017
19,"Okhotnyy ryad",55.757689,37.6164801
20,"Lubyanka",55.75983,37.627967
21,"Chistye Prudy",55.765769,37.6390171
22,"Krasnye Vorota",55.769185,37.649129
23,"Komsomolskaya",55.775257,37.6562769
24,"Mendeleevskaya",55.781202,37.600677
25,"Tsvetnoy Bul'var",55.770596,37.6185811
26,"Chekhovskaya",55.764722,37.6087172
27,"Borovitskaya",55.7505304,37.609167
28,"Polyanka",55.7368257,37.6185436
29,"Serpukhovskaya",55.728036,37.6248471
30,"Dobryninskaya",55.729116,37.624582
31,"Krasnopresnenskaya",55.7610138,37.5772176
32,"Novoslobodskaya",55.7795933,37.6013201
33,"Oktyabr'skaya",55.729722,37.609451
34,"Tret'yakovskaya",55.740894,37.627375
35,"Turgenevskaya",55.766431,37.637585
