"from","to","line","linecolor"
1,2,"Purple","#A020F0"
2,3,"Purple","#A020F0"
3,4,"Purple","#A020F0"
4,5,"Purple","#A020F0"
5,6,"Purple","#A020F0"
6,7,"Purple","#A020F0"
7,8,"Purple","#A020F0"
8,9,"Purple","#A020F0"
9,10,"Purple","#A020F0"
10,11,"Purple","#A020F0"
11,12,"Purple","#A020F0"
12,13,"Purple","#A020F0"
13,14,"Purple","#A020F0"
14,15,"Purple","#A020F0"
16,17,"Red","#FF0000"
17,18,"Red","#FF0000"
18,15,"Red","#FF0000"
15,19,"Red","#FF0000"
19,20,"Red","#FF0000"
20,21,"Red","#FF0000"
21,22,"Red","#FF0000"
22,23,"Red","#FF0000"
23,24,"Red","#FF0000"
24,25,"Red","#FF0000"
25,26,"Red","#FF0000"
26,4,"Red","#FF0000"
18,27,"Light Blue","#ADD8E6"
27,28,"Light Blue","#ADD8E6"
28,12,"Light Blue","#ADD8E6"
12,29,"Light Blue","#ADD8E6"
29,30,"Light Blue","#ADD8E6"
30,31,"Light Blue","#ADD8E6"
31,32,"Light Blue","#ADD8E6"
32,1,"Light Blue","#ADD8E6"
16,27,"Yellow","#FFFF00"
27,14,"Yellow","#FFFF00"
14,33,"Yellow","#FFFF00"
33,34,"Yellow","#FFFF00"
34,21,"Yellow","#FFFF00"
21,35,"Yellow","#FFFF00"
