"id","name","latitude","longitude"
1,"Yogato Station",35.1369267,136.9642489
2,"Sogo-Rihabiri-Center-Station",35.1304792,136.9545005
3,"Mizuhoundojohihashi Station",35.123091,136.9486957
4,"Aratamabashi Station",35.1177303,136.9372247
5,"Myo-Ondori Station",35.1171801,136.9295824
6,"Horita Station",35.116615,136.921698
7,"Temmacho Station",35.1207748,136.9103837
8,"Jingunishi Station",35.1279705,136.9065645
9,"Nishi Takakura Station",35.1346446,136.9017844
10,"Kanayama Station",35.142926,136.9012035
11,"Higashi-Betsuin Station",35.1499758,136.9047819
12,"Kamimaezu Station",35.1572305,136.9067653
13,"Yabacho Staion",35.1637066,136.9089044
14,"Sakae Station",35.1700475,136.9085322
15,"Hisayaodori Station",35.173741,136.9077766
16,"Nagoya Station",35.170915,136.8815369
17,"Kokusai Center Station",35.1722116,136.8896092
18,"Marunouchi Staion",35.1739087,136.8969044
19,"Takaoka Station",35.1741964,136.915749
20,"Kurumamichi Station",35.1734182,136.9294456
21,"Imaike Station",35.1699407,136.9372523
22,"Fukiage Station",35.1588327,136.9352329
23,"Gokiso Station",35.1495501,136.9336499
24,"Sakurayama Station",35.1395431,136.9334003
25,"Mizuho Kuyakusho Station",35.1320651,136.934419
26,"Mizuho Undojo Nishi Station",35.1249516,136.9354468
27,"Fushimi Station",35.1692512,136.8974207
28,"Osukan-Non Station",35.1603644,136.8982721
29,"Tsurumai Station",35.1563887,136.9175268
30,"Arahata Station",35.1496529,136.9258855
31,"Kawana Station",35.1488491,136.9476799
32,"Irinaka Station",35.1433813,136.9551961
33,"Shin-Sakaemachi Station",35.1707897,136.9204688
34,"Chikusa Station",35.1701666,136.9306621
35,"Ikeshita Station",35.1677248,136.9467498
