"from","to","line","linecolor"
1,2,"Red","#FF0000"
2,3,"Red","#FF0000"
3,4,"Red","#FF0000"
4,5,"Red","#FF0000"
5,6,"Red","#FF0000"
6,7,"Red","#FF0000"
8,9,"Blue","#0000FF"
9,10,"Blue","#0000FF"
10,5,"Blue","#0000FF"
5,6,"Blue","#0000FF"
6,11,"Blue","#0000FF"
12,13,"Purple","#A020F0"
13,14,"Purple","#A020F0"
14,15,"Purple","#A020F0"
15,16,"Purple","#A020F0"
16,17,"Purple","#A020F0"
17,18,"Purple","#A020F0"
13,19,"Brown","#964B00"
19,20,"Brown","#964B00"
20,21,"Brown","#964B00"
21,22,"Brown","#964B00"
22,23,"Brown","#964B00"
23,7,"Brown","#964B00"
24,25,"Pink","#FFC0CB"
25,26,"Pink","#FFC0CB"
26,27,"Pink","#FFC0CB"
27,5,"Pink","#FFC0CB"
5,22,"Pink","#FFC0CB"
22,17,"Pink","#FFC0CB"
17,28,"Pink","#FFC0CB"
29,30,"Light Green","#90EE90"
30,27,"Light Green","#90EE90"
27,31,"Light Green","#90EE90"
31,4,"Light Green","#90EE90"
4,21,"Light Green","#90EE90"
21,32,"Light Green","#90EE90"
32,16,"Light Green","#90EE90"
16,33,"Light Green","#90EE90"
33,35,"Light Green","#90EE90"
34,25,"Dark Green","#023020"
25,3,"Dark Green","#023020"
3,20,"Dark Green","#023020"
20,15,"Dark Green","#023020"
15,35,"Dark Green","#023020"
