"id","name","latitude","longitude"
1,"Hasle",59.9243923,10.7945814
2,"Carl Berners Plass",59.9259035,10.7796278
3,"Toyen",59.915583,10.775796
4,"Gronland",59.912681,10.7613736
5,"Jernbanetorget",59.9121003,10.7513111
6,"Stortinget",59.9138284,10.741937
7,"Natoinaltheatret",59.9147594,10.7302798
8,"Majorstuen",59.9301738,10.7149095
9,"Blindern",59.9405099,10.7168667
10,"Forskningsparken",59.9437188,10.7206663
11,"Ulleval Stadion",59.9467625,10.7322272
12,"Nydalen Stasjon",59.951739,10.7717829
13,"Storo",59.9447924,10.7784683
14,"Sisen",59.93718,10.7818049
15,"Hellerud",59.9100499,10.8305546
16,"Brynseng",59.9092308,10.8120801
17,"Helsfyr",59.91268,10.80144
18,"Ensjo",59.91378,10.78774
19,"Borgen",59.934668,10.6957429
20,"Smestad",59.9372853,10.6836004
21,"Montebello",59.93483,10.66642
22,"Ullernasen",59.9315197,10.6558934
23,"Froen",59.9343463,10.7088996
24,"Steinerud",59.9391628,10.7041826
25,"Vinderen",59.9421894,10.7046119
26,"Gaustad",59.94586,10.710122
27,"Ris",59.94805,10.70456
28,"Slemdal",59.950875,10.6944229
29,"Grakammen",59.9550557,10.7015299
30,"Loren",59.9294703,10.7914871
31,"Okern",59.9283639,10.8066177
32,"Rislokka",59.932511,10.8228001
33,"Makrellbekken",59.941704,10.6738551
34,"Holmen",59.945865,10.6676266
35,"Hovseter",59.9464204,10.6554312
