"from","to","line","linecolor"
30,31,"Sky Blue","#87CEEB"
31,25,"Sky Blue","#87CEEB"
25,21,"Sky Blue","#87CEEB"
21,22,"Sky Blue","#87CEEB"
22,23,"Sky Blue","#87CEEB"
27,26,"Olive","#808000"
26,24,"Olive","#808000"
24,25,"Olive","#808000"
25,17,"Olive","#808000"
17,6,"Olive","#808000"
6,8,"Olive","#808000"
8,7,"Olive","#808000"
7,14,"Olive","#808000"
2,1,"Dark Green","#023020"
1,3,"Dark Green","#023020"
3,25,"Dark Green","#023020"
25,16,"Dark Green","#023020"
16,15,"Dark Green","#023020"
15,18,"Dark Green","#023020"
18,19,"Dark Green","#023020"
19,20,"Dark Green","#023020"
31,32,"M Yellow","#FFDB58"
32,17,"M Yellow","#FFDB58"
17,5,"M Yellow",#FFDB58""
5,11,"M Yellow","#FFDB58"
11,13,"M Yellow","#FFDB58"
13,34,"M Yellow","#FFDB58"
34,35,"M Yellow","#FFDB58"
25,3,"D Purple","#301934"
3,9,"D Purple","#301934"
4,1,"L Purple","#CBC3E3"
1,3,"L Purple","#CBC3E3"
3,6,"L Purple","#CBC3E3"
6,11,"L Purple","#CBC3E3"
11,13,"L Purple","#CBC3E3"
13,34,"L Purple","#CBC3E3"
34,35,"L Purple","#CBC3E3"
33,10,"Pink","#FFC0CB"
10,9,"Pink","#FFC0CB"
9,6,"Pink","#FFC0CB"
6,5,"Pink","#FFC0CB"
5,12,"Pink","#FFC0CB"
12,28,"Pink","#FFC0CB"
28,29,"Pink","#FFC0CB"
