"from","to","line","linecolor"
1,2,"Green","#00FF00"
2,3,"Green","#00FF00"
3,4,"Green","#00FF00"
4,5,"Green","#00FF00"
5,6,"Green","#00FF00"
6,7,"Green","#00FF00"
7,8,"Green","#00FF00"
8,9,"Green","#00FF00"
10,11,"Green","#00FF00"
12,13,"Yellow","#FFFF00"
13,14,"Yellow","#FFFF00"
14,6,"Yellow","#FFFF00"
6,15,"Yellow","#FFFF00"
15,16,"Yellow","#FFFF00"
16,17,"Yellow","#FFFF00"
17,18,"Yellow","#FFFF00"
18,19,"Yellow","#FFFF00"
19,20,"Yellow","#FFFF00"
20,21,"Yellow","#FFFF00"
21,22,"Yellow","#FFFF00"
23,24,"Red","#FF0000"
24,25,"Red","#FF0000"
25,26,"Red","#FF0000"
26,27,"Red","#FF0000"
27,16,"Red","#FF0000"
16,28,"Red","#FF0000"
28,7,"Red","#FF0000"
7,29,"Red","#FF0000"
29,30,"Red","#FF0000"
31,32,"Red","#FF0000"
32,33,"Red","#FF0000"
33,34,"Red","#FF0000"
34,35,"Red","#FF0000"
