"id","name","latitude","longitude"
1,"Borislavka",50.098518,14.364117
2,"Dejvicka",50.100471,14.393175
3,"Hradcanska",50.097462,14.40425
4,"Malostranska",50.0909076,14.4094798
5,"Staromestska",50.088356,14.416843
6,"Mustek",50.084095,14.423642
7,"Muzeum",50.0798639,14.431388
8,"Namesti Miru",50.0751635,14.4377237
9,"Jiriho Podebrad",50.077599,14.449006
10,"Flora",50.0780114,14.4612584
11,"Zelivskeho",50.078609,14.473751
12,"Andel",50.071129,14.403903
13,"Karlovo Namesti",50.074593,14.416979
14,"Narodni Trida",50.0812975,14.4197553
15,"Namesti Republiky",50.088249,14.428735
16,"Florenc",50.0902743,14.4389963
17,"Krizikova",50.093468,14.451784
18,"Invalidovna",50.097416,14.4646061
19,"Palmovka",50.104401,14.476475
20,"Ceskomoravska",50.106552,14.4927291
21,"Vysocanska",50.110493,14.5019061
22,"Kolbenova",50.110363,14.5152719
23,"Strizkov",50.126156,14.4895661
24,"Ladvi",50.126675,14.469773
25,"Kobylisy",50.124561,14.455757
26,"Nadrazi Holesovice",50.108868,14.44075
27,"Vltavska",50.099449,14.43847
28,"Hlavni Nadrazi",50.083412,14.434621
29,"I. P. Pavlova",50.075344,14.429981
30,"Vysehrad",50.06314,14.4305199
31,"Prazsheho Povstani",50.0565317,14.4342021
32,"Pankrac",50.051041,14.4398449
33,"Budejovicka",50.044411,14.448788
34,"Kacerov",50.041771,14.460263
35,"Roztyly",50.0374285,14.4777385
