"from","to","line","linecolor"
1,2,"Green","#00FF00"
2,3,"Green","#00FF00"
3,4,"Green","#00FF00"
4,5,"Green","#00FF00"
5,33,"Green","#00FF00"
5,6,"Green","#00FF00"
6,24,"Green","#00FF00"
6,7,"Green","#00FF00"
7,14,"Green","#00FF00"
7,8,"Green","#00FF00"
8,9,"Green","#00FF00"
10,11,"Orange","#FFA500"
11,12,"Orange","#FFA500"
12,13,"Orange","#FFA500"
13,14,"Orange","#FFA500"
14,15,"Orange","#FFA500"
15,16,"Orange","#FFA500"
16,23,"Orange","#FFA500"
16,17,"Orange","#FFA500"
17,29,"Orange","#FFA500"
17,34,"Orange","#FFA500"
18,19,"Red","#FF0000"
19,20,"Red","#FF0000"
20,21,"Red","#FF0000"
21,22,"Red","#FF0000"
22,30,"Red","#FF0000"
22,23,"Red","#FF0000"
23,24,"Red","#FF0000"
24,25,"Red","#FF0000"
25,26,"Red","#FF0000"
27,28,"Purple","#A020F0"
28,29,"Purple","#A020F0"
29,30,"Purple","#A020F0"
30,31,"Purple","#A020F0"
31,32,"Purple","#A020F0"
33,34,"Light Blue","#ADD8E6"
34,35,"Light Blue","#ADD8E6"
