"id","name","latitude","longitude"
1,"Begovaya",59.9873,30.202254
2,"Zenit",59.971928,30.211835
3,"Primorskaya",59.948787,30.2377189
4,"Vasileostrovskaya",59.942853,30.278158
5,"Gostinyy dvor",59.934279,30.330322
6,"Mayakovskaya",59.930461,30.357749
7,"Ploschad Aleksanra Nevskogo 1",59.923306,30.3867919
8,"Elizarovskaya",59.898062,30.42166
9,"Lomonosovskaya",59.8773033,30.4417652
10,"Ulitsa Dybenko",59.9074275,30.4833342
11,"Prospekt Bol'shevikov",59.921167,30.463781
12,"Ladozhskiy Vokzal",59.9315294,30.4416076
13,"Nvocherkasskaya",59.9289687,30.4118693
14,"Ploschad' Alekandra Nevskogo 2",59.92252,30.384918
15,"Ligovskiy Prospekt",59.9207738,30.354842
16,"Dostoyevskaya",59.926808,30.3459731
17,"Spasskaya",59.926232,30.317958
18,"Kirovskiy Zavod",59.878102,30.260648
19,"Narvskaya",59.900062,30.274342
20,"Baltiyskaya",59.90781,30.302937
21,"Tekhnologichekiy Institut 2",59.915066,30.318197
22,"Pushkinskaya",59.921195,30.332362
23,"Vladimirskaya",59.92612,30.347215
24,"Ploshchad' Vosstaniya",59.9315427,30.3604659
25,"Chernyshevskaya",59.9445202,30.3599453
26,"Ploschad Lenina",59.957143,30.3552929
27,"Sportivnaya",59.950542,30.289697
28,"Admiralteyskaya",59.9359,30.3146921
29,"Sadovaya",59.927363,30.319377
30,"Zvenigorodskaya",59.921836,30.3329799
31,"Obvodnyy Kanal",59.91303,30.3512339
32,"Volkovskaya",59.896782,30.360594
33,"Nevsky Prospekt",59.9346516,30.3299147
34,"Sennaya Ploschad",59.926073,30.320184
35,"Frunzenskaya",59.905462,30.3178591
