"from","to","line","linecolor"
1,2,"Purple","#A020F0"
2,3,"Purple","#A020F0"
3,4,"Purple","#A020F0"
4,5,"Purple","#A020F0"
5,6,"Purple","#A020F0"
6,10,"Purple","#A020F0"
7,8,"Yellow","#FFFF00"
8,9,"Yellow","#FFFF00"
9,10,"Yellow","#FFFF00"
10,11,"Yellow","#FFFF00"
11,12,"Yellow","#FFFF00"
12,13,"Yellow","#FFFF00"
13,14,"Yellow","#FFFF00"
14,15,"Yellow","#FFFF00"
1,16,"Red","#FF0000"
16,17,"Red","#FF0000"
17,18,"Red","#FF0000"
18,19,"Red","#FF0000"
19,20,"Red","#FF0000"
20,21,"Red","#FF0000"
21,22,"Red","#FF0000"
22,23,"Red","#FF0000"
23,14,"Red","#FF0000"
14,24,"Red","#FF0000"
24,25,"Red","#FF0000"
25,26,"Red","#FF0000"
27,28,"Green","#00FF00"
28,15,"Green","#00FF00"
15,29,"Green","#00FF00"
29,19,"Green","#00FF00"
19,30,"Green","#00FF00"
30,31,"Green","#00FF00"
31,32,"Green","#00FF00"
32,5,"Green","#00FF00"
5,33,"Green","#00FF00"
33,34,"Green","#00FF00"
34,35,"Green","#00FF00"
