"id","name","latitude","longitude"
1,"Los Leones",-33.4221261,-70.6084382
2,"Ines de Suarez",-33.438878,-70.607201
3,"Nunoa",-33.4544707,-70.605443
4,"Estadio Nacional",-33.462282,-70.606113
5,"Nuble",-33.46719,-70.62519
6,"Bio Bio",-33.4767954,-70.6423473
7,"Lo Vial",-33.49727,-70.65311
8,"San Miguel",-33.4888,-70.65118
9,"El Llano",-33.482703,-70.6492315
10,"Franklin",-33.47622,-70.64963
11,"Rondizzoni",-33.47004,-70.65633
12,"Parque O'higgins",-33.4609788,-70.6568466
13,"Toesca",-33.4529468,-70.65855
14,"Los Heroes",-33.44615,-70.66038
15,"Santa Ana",-33.4381033,-70.6599026
16,"Pedro de Valdivia",-33.42547,-70.61427
17,"Manuel Montt",-33.42834,-70.61921
18,"Salvador",-33.43311,-70.62659
19,"Baquedano",-33.43704,-70.63353
20,"Universidad Catolica",-33.44022,-70.64055
21,"Santa Lucia",-33.44269,-70.64572
22,"Estacion Universidad de Chile",-33.443809,-70.650391
23,"La Moneda",-33.44486,-70.65481
24,"Republica",-33.4477218,-70.6670293
25,"Union Latino Americana",-33.44947,-70.6732
26,"Estacion Central",-33.4513056,-70.6790951
27,"Quinta Normal",-33.44028,-70.68036
28,"Cumming",-33.4391,-70.66843
29,"Bellas Artes",-33.4364506,-70.6442214
30,"Parque Bustamante",-33.4428392,-70.631634
31,"Santa Isabel",-33.4469507,-70.6304497
32,"Irarrazaval",-33.453135,-70.6289294
33,"Rodrigo de Araya",-33.477516,-70.622314
34,"Carlos Valdovinos",-33.4864172,-70.6191756
35,"Camino Agricola",-33.4917505,-70.6175309
