"from","to","line","linecolor"
1,2,"Blue","#0000FF"
2,3,"Blue","#0000FF"
3,4,"Blue","#0000FF"
4,5,"Blue","#0000FF"
5,6,"Blue","#0000FF"
6,7,"Blue","#0000FF"
7,8,"Blue","#0000FF"
8,9,"Grey","#808080"
9,10,"Grey","#808080"
10,11,"Grey","#808080"
11,12,"Grey","#808080"
12,13,"Grey","#808080"
13,14,"Grey","#808080"
14,15,"Grey","#808080"
15,16,"Grey","#808080"
17,18,"Light Blue","#ADD8E6"
18,19,"Light Blue","#ADD8E6"
19,20,"Light Blue","#ADD8E6"
20,21,"Light Blue","#ADD8E6"
21,22,"Light Blue","#ADD8E6"
22,7,"Light Blue","#ADD8E6"
23,3,"Light Green","#90EE90"
3,24,"Light Green","#90EE90"
24,25,"Light Green","#90EE90"
25,26,"Light Green","#90EE90"
26,22,"Light Green","#90EE90"
22,9,"Light Green","#90EE90"
9,27,"Light Green","#90EE90"
28,29,"Orange","#FFA500"
29,5,"Orange","#FFA500"
5,25,"Orange","#FFA500"
25,21,"Orange","#FFA500"
21,30,"Orange","#FFA500"
30,11,"Orange","#FFA500"
11,31,"Orange","#FFA500"
31,32,"Orange","#FFA500"
17,33,"Teal","#008080"
33,34,"Teal","#008080"
34,35,"Teal","#008080"
35,32,"Teal","#008080"
