"id","name","latitude","longitude"
1,"Namyeong",37.540606,126.971316
2,"Seoul Station",37.555946,126.972317
3,"City Hall",37.5657037,126.9768616
4,"Jonggak",37.570176,126.983197
5,"Jongno 3-ga",37.570436,126.992148
6,"Jongno 5-ga",37.570997,127.001939
7,"Dongdaemun",37.571731,127.011069
8,"Dongmyo",37.573246,127.016589
9,"Sindang",37.565669,127.019452
10,"Cheonggu",37.560214,127.013892
11,"Yaksu",37.554347,127.011001
12,"Beotigogae",37.548111,127.00714
13,"Hangangjin",37.539838,127.001766
14,"Itaewon",37.534542,126.994596
15,"Noksapyeong",37.534583,126.986894
16,"Samgakji",37.534547,126.972987
17,"Sinyongsan",37.529196,126.967903
18,"Sookmyung Women's Uni.",37.544592,126.972114
19,"Hoehyeon",37.558776,126.978558 //
20,"Myeongdong",37.560918,126.985865
21,"Chungmuro",37.560997,126.994728
22,"Dongdaemun History and Culture Park",37.565682,127.008953
23,"Chungjeongno",37.559692,126.964332
24,"Euljiro 1-ga",37.566065,126.982679
25,"Euljiro 3-ga",37.566288,126.991051
26,"Euljiro 4-ga",37.566621,126.997733
27,"Sangwangsimni",37.564321,127.029463
28,"Gyeongbokgung",37.575879,126.973567
29,"Anguk",37.5765637,126.9855028
30,"Dongguk Uni.",37.559077,127.005307
31,"Geumho",37.548268,127.015806
32,"Oksu",37.54042,127.01854
33,"Ichon",37.522379,126.973651
34,"Seobinggo",37.519619,126.988375
35,"Hannam",37.529369,127.009001
