"from","to","line","linecolor"
1,2,"Purple","#A020F0"
2,3,"Purple","#A020F0"
3,4,"Purple","#A020F0"
4,5,"Purple","#A020F0"
5,6,"Purple","#A020F0"
6,7,"Purple","#A020F0"
7,8,"Purple","#A020F0"
8,9,"Purple","#A020F0"
9,11,"Purple","#A020F0"
11,10,"Purple","#A020F0"
10,12,"Purple","#A020F0"
12,13,"Purple","#A020F0"
11,14,"Dark Red","#8B0000"
14,15,"Dark Red","#8B0000"
15,16,"Dark Red","#8B0000"
16,17,"Dark Red","#8B0000"
17,5,"Dark Red","#8B0000"
12,18,"Orange","#FFA500"
18,19,"Orange","#FFA500"
19,20,"Orange","#FFA500"
20,21,"Orange","#FFA500"
21,22,"Orange","#FFA500"
22,3,"Orange","#FFA500"
4,17,"Pink","#FFC0CB"
17,23,"Pink","#FFC0CB"
23,24,"Pink","#FFC0CB"
24,22,"Pink","#FFC0CB"
22,35,"Pink","#FFC0CB"
35,28,"Pink","#FFC0CB"
28,27,"Pink","#FFC0CB"
27,32,"Pink","#FFC0CB"
6,16,"Light Green","#90EE90"
16,20,"Light Green","#90EE90"
20,28,"Light Green","#90EE90"
28,30,"Light Green","#90EE90"
8,15,"Light Purple","#CBC3E3"
15,34,"Light Purple","#CBC3E3"
34,26,"Light Purple","#CBC3E3"
9,14,"Light Blue","#ADD8E6"
14,18,"Light Blue","#ADD8E6"
18,25,"Light Blue","#ADD8E6"
1,28,"Red","#FF0000"
28,29,"Red","#FF0000"
29,30,"Red","#FF0000"
30,31,"Red","#FF0000"
31,26,"Red","#FF0000"
26,19,"Red","#FF0000"
19,33,"Red","#FF0000"
33,14,"Red","#FF0000"
14,11,"Red","#FF0000"
28,27,"Turquoise","#30D5C8"
27,26,"Turquoise","#30D5C8"
26,25,"Turquoise","#30D5C8"
25,13,"Turquoise","#30D5C8"
