"id","name","latitude","longitude"
1,"Shanghai Station",31.2508246,121.4506144
2,"Zhongtan Road Station",31.254568,121.441001
3,"Zhenping Road Station",31.2488275,121.4272158
4,"Jinshajiang Road Station",31.232307,121.413257
5,"Caoyang Road Station",31.239302,121.417701
6,"Zhongshan Park Station",31.218014,121.415741
7,"West Yan'an Road Station",31.209616,121.417062
8,"Hongqiao Road Station",31.197524,121.420814
9,"Yishan Road Station",31.167423,121.387408
10,"Shanghai Stadium Station",31.183481,121.439629
11,"Shanghai Indoor Stadium",31.1853001,121.4360873
12,"Dong'an Road Station",31.190449,121.455158
13,"Damuqiao Road Station",31.194057,121.463278
14,"Xujiahui Station",31.194628,121.436135
15,"Jiaotong University",31.202264,121.435256
16,"Jiangsu Road Station",31.223739,121.428365
17,"Longde Road",31.229394,121.420773
18,"Zhaojibang Road Station",31.203981,121.464993
19,"Changshu Road Station",31.213524,121.449141
20,"Jing'an Station",31.223204,121.446455
21,"Changping Road Station",31.235084,121.444285
22,"Changshou Road Station",31.238836,121.436017
23,"Wuning Road Station",31.233625,121.429798
24,"Wuding Road Station",31.22703,121.436486
25,"Jiashan Road Station",31.20282,121.460704
26,"South Shaanxi Road Station",31.215,121.458266
27,"West Nanjing Road Station",31.229861,121.459989
28,"Hanzhong Road Station",31.24162,121.458321
29,"Xinzha Road Station",31.238866,121.468422
30,"People's Square Station",31.232781,121.475137
31,"South Huangpi Road Station",31.224012,121.473042
32,"Middle Huaihai Road Station",31.22134,121.463499
33,"Hengshan Road Station",31.204528,121.446424
34,"Shanghai Library",31.208989,121.4437666
35,"Jiangning Road",31.22891,121.456093
