"from","to","line","linecolor"
1,2,"Purple","#A020F0"
2,3,"Purple","#A020F0"
3,4,"Purple","#A020F0"
4,5,"Purple","#A020F0"
5,6,"Purple","#A020F0"
6,7,"Purple","#A020F0"
7,8,"Purple","#A020F0"
9,5,"Blue","#0000FF"
5,10,"Blue","#0000FF"
10,11,"Blue","#0000FF"
11,12,"Blue","#0000FF"
12,13,"Blue","#0000FF"
13,14,"Blue","#0000FF"
14,15,"Blue","#0000FF"
15,2,"Blue","#0000FF"
2,16,"Blue","#0000FF"
16,17,"Blue","#0000FF"
17,18,"Blue","#0000FF"
19,9,"Red","#FF0000"
9,20,"Red","#FF0000"
20,4,"Red","#FF0000"
4,21,"Red","#FF0000"
21,22,"Red","#FF0000"
22,23,"Red","#FF0000"
23,24,"Red","#FF0000"
4,25,"Red","#FF0000"
25,26,"Red","#FF0000"
26,27,"Red","#FF0000"
27,28,"Red","#FF0000"
28,29,"Red","#FF0000"
29,30,"Red","#FF0000"
30,31,"Red","#FF0000"
31,32,"Green","#00FF00"
32,33,""Green,"#00FF00"
33,34,"Green","#00FF00"
34,11,"Green","#00FF00"
11,21,"Green","#00FF00"
21,22,"Green","#00FF00"
22,35,"Green","#00FF00"
