"id","name","latitude","longitude"
1,"Outram Park",1.2814265,103.8391803
2,"Chinatown",1.28452,103.84357
3,"Clarke Quay",1.28839,103.84656
4,"Dhoby Ghaut",1.2989432,103.8455015
5,"Little India",1.3067485,103.849459
6,"Farrer Park",1.31236,103.85418
7,"Boon Keng",1.3200375,103.861623
8,"Potong Pasir",1.331273,103.8687898
9,"Newton",1.31377,103.83806
10,"Rochor",1.3036225,103.8526567
11,"Bugis",1.3001701,103.8561248
12,"Promenade",1.2940693,103.8602713
13,"Bayfront",1.2813386,103.8589551
14,"Downtown",103.8589551,103.8527473
15,"Telok Ayer",1.2819723,103.8487273
16,""Fort Canning,1.2924361,103.8442123
17,"Bencoolen",1.2985238,103.8499
18,"Jalan Besar",1.3056519,103.8553192
19,"Novena",1.32044,103.84383
20,"Somerset",1.3005159,103.8385
21,"City Hall",1.2931159,103.8520125
22,"Raffles Place",1.2849936,103.851723
23,"Marina Bay",1.2760574,103.8548902
24,"Marina South Pier",1.2713874,103.8636056
25,"Bras Basah",1.2976541,103.850506
26,"Esplanade",1.2940432,103.8554093
27,"Nicoll Highway",1.3002063,103.8634707
28,"Stadium",1.30284,103.87535
29,"Mountbatten",1.3060844,103.8831531
30,"Dakota",1.30841,103.888814
31,"Paya Lebar",1.3181607,103.8931436
32,"Aljunied",1.31643,103.88291
33,"Kallang",1.3114865,103.8713507
34,"Lavender",1.3072636,103.8629202
35,"Tanjong Pagar",1.27652,103.84586
