"id","name","latitude","longitude"
1,"T-Centralen",59.3307777,18.0591112
2,"Kungstradgarden",59.330774,18.0732396
3,"Radhuset",59.330231,18.046825
4,"Fridhemsplan",59.3323002,18.0291937
5,"Stadshagen",59.338288,18.0138267
6,"Vastra Skogen",59.34759,18.003984
7,"Solna Centrum",59.3587165,17.9988305
8,"Nackrosen",59.3664392,17.9831866
9,"Huvudsta",59.3495763,17.9855457
10,"Solna Strand",59.354462,17.973423
11,"Tekniska Hogskolan",59.345909,18.0716004
12,"Stadion",59.3428642,18.0819612
13,"Ostermalmstorg",59.3347288,18.0738189
14,"Karlaplan",59.339492,18.0916511
15,"Gardet",59.3479089,18.1021904
16,"Gamla Stan",59.323078,18.0673781
17,"Slussen",59.3194074,18.0722943
18,"Mariatorget",59.3173333,18.0577436
19,"Zinkensdamm",59.317778,18.0501521
20,"Hornstull",59.315738,18.0343574
21,"Liljeholmen",59.3103179,18.0220097
22,"Aspudden",59.3064364,18.0011745
23,"Ornsberg",59.3053647,17.9879904
24,"Midsommarkransen",59.301852,18.012036
25,"Telefonplan",59.298217,17.9970037
26,"St Eriksplan",59.3396664,18.0371624
27,"Odenplan",59.3429584,18.049797
28,"Radmansgatan",59.3403265,18.0592133
29,"Hotorget",59.3353165,18.0632101
30,"Medborgarplatsen",59.3143927,18.0737874
31,"Skanstull",59.3078654,18.0758503
32,"Gullmarsplan",59.2990356,18.0809928
33,"Globen",59.2940853,18.0769854
34,"Skarmarbrink T-bana",59.2954082,18.0904003
35,"Blasut",59.2901626,18.0911153
