"from","to","line","linecolor"
1,2,"Orange","#FFA500"
2,3,"Orange","#FFA500"
3,4,"Orange","#FFA500"
4,5,"Orange","#FFA500"
5,6,"Orange","#FFA500"
6,7,"Orange","#FFA500"
7,8,"Orange","#FFA500"
12,11,"Light Blue","#ADD8E6"
11,9,"Light Blue","#ADD8E6"
9,3,"Light Blue","#ADD8E6"
3,10,"Light Blue","#ADD8E6"
10,13,"Light Blue","#ADD8E6"
27,22,"Grey","#808080"
22,10,"Grey","#808080"
10,20,"Grey","#808080"
20,21,"Grey","#808080"
21,23,"Grey","#808080"
23,5,"Grey","#808080"
5,24,"Grey","#808080"
24,25,"Grey","#808080"
25,26,"Grey","#808080"
26,35,"Grey","#808080"
9,31,"Red","#FF0000"
31,5,"Red","#FF0000"
5,25,"Red","#FF0000"
17,16,"Yellow","#FFFF00"
16,15,"Yellow","#FFFF00"
15,14,"Yellow","#FFFF00"
14,18,"Yellow","#FFFF00"
18,19,"Yellow","#FFFF00"
19,32,"Yellow","#FFFF00"
30,22,"Pink","#FFC0CB"
22,3,"Pink","#FFC0CB"
3,29,"Pink","#FFC0CB"
29,23,"Pink","#FFC0CB"
23,6,"Pink","#FFC0CB"
34,12,"Purple","#A020F0"
12,33,"Purple","#A020F0"
33,9,"Purple","#A020F0"
9,2,"Purple","#A020F0"
2,28,"Purple","#A020F0"
