"from","to","line","linecolor"
1,2,"Green","#00FF00"
2,3,"Green","#00FF00"
3,4,"Green","#00FF00"
4,5,"Green","#00FF00"
5,6,"Green","#00FF00"
6,7,"Green","#00FF00"
7,8,"Green","#00FF00"
8,9,"Green","#00FF00"
9,10,"Green","#00FF00"
10,11,"Green","#00FF00"
11,12,"Green","#00FF00"
12,13,"Green","#00FF00"
13,14,"Brown","#964B00"
14,15,"Brown","#964B00"
15,16,"Brown","#964B00"
16,17,"Brown","#964B00"
17,18,"Brown","#964B00"
18,19,"Brown","#964B00"
19,20,"Brown","#964B00"
20,21,"Brown","#964B00"
21,22,"Brown","#964B00"
22,2,"Brown","#964B00"
23,24,"Red","#FF0000"
24,25,"Red","#FF0000"
25,9,"Red","#FF0000"
9,26,"Red","#FF0000"
26,6,"Red","#FF0000"
8,27,"Orange","#FFA500"
27,26,"Orange","#FFA500"
26,28,"Orange","#FFA500"
28,29,"Orange","#FFA500"
29,30,"Orange","#FFA500"
30,31,"Orange","#FFA500"
31,21,"Orange","#FFA500"
32,24,"Purple","#A020F0"
24,33,"Purple","#A020F0"
33,34,"Purple","#A020F0"
34,35,"Purple","#A020F0"
