"id","name","latitude","longitude"
1,"Meidling HauptstraBe",48.1838,16.326828
2,"Langenfeldgasse",48.184422,16.334293
3,"Margaretengurtel",48.188519,16.343611
4,"Pilgramgasse",48.1926175,16.354467
5,"Kettenbruckengasse",48.1968015,16.358951
6,"Karlsplatz",48.2007794,16.3694019
7,"Stadtpark",48.2024486,16.3790822
8,"LandstraBe",48.207317,16.3856411
9,"Schwedenplatz",48.2114745,16.3780646
10,"Schottenring",48.217113,16.37128
11,"RoBauer Lande",48.2223441,16.3675291
12,"Friedensbruke",48.2272724,16.3646666
13,"Spittelau",48.235592,16.358105
14,"NuBdorfer StraBe",48.231383,16.3524047
15,"Wahringer Strasse",48.2255964,16.3493711
16,"Michelbeuern AKH",48.220657,16.343683
17,"Alser StraBe",48.216827,16.341803
18,"Josefstadter StraBe",48.2114857,16.3390967
19,"ThaliastraBe",48.20768,16.3378751
20,"Burggasse-Stadthalle",48.2029877,16.3372518
21,"Gare de I'Ouest",48.1969952,16.339106
22,"Gumpendorfer StraBe",48.1907813,16.3376815
23,"VorgartenstraBe",48.2236787,16.4011889
24,"Praterstern",48.2187834,16.392127
25,"Nestroplatz",48.2162251,16.3865279
26,"Stephansplatz",48.208176,16.3712459
27,"Stubentor",48.2074954,16.3796273
28,"Herrengasse",48.2096482,16.36638
29,"Volkstheater",48.2050705,16.3575922
30,"Neubaugasse",48.1991202,16.3520877
31,"Ziglergasse",48.1971524,16.3462028
32,"Messe - Prater",48.2177854,16.4037766
33,"TaborstraBe",48.2189715,16.3806514
34,"Schottentor",48.2136712,16.3621954
35,"Museumquarter",48.2028801,16.3614399
