"from","to","line","linecolor"
1,2,"Yellow","#FFFF00"
2,3,"Yellow","#FFFF00"
3,4,"Yellow","#FFFF00"
4,5,"Yellow","#FFFF00"
5,6,"Yellow","#FFFF00"
6,7,"Yellow","#FFFF00"
7,8,"Yellow","#FFFF00"
8,9,"Yellow","#FFFF00"
9,10,"Yellow","#FFFF00"
10,11,"Red","#FF0000"
11,12,"Red","#FF0000"
12,13,"Red","#FF0000"
13,14,"Red","#FF0000"
14,15,"Red","#FF0000"
15,4,"Red","#FF0000"
4,16,"Red","#FF0000"
17,18,"Orange","#FFA500"
18,19,"Orange","#FFA500"
19,20,"Orange","#FFA500"
20,16,"Orange","#FFA500"
16,21,"Orange","#FFA500"
21,22,"Orange","#FFA500"
22,2,"Orange","#FFA500"
2,23,"Orange","#FFA500"
23,24,"Orange","#FFA500"
24,25,"Orange","#FFA500"
25,26,"Orange","#FFA500"
26,27,"Orange","#FFA500"
28,18,"Blue","#0000FF"
27,29,"Blue","#0000FF"
29,30,"Blue","#0000FF"
30,31,"Blue","#0000FF"
2,32,"Green","#00FF00"
32,33,"Green","#00FF00"
33,34,"Green","#00FF00"
34,35,"Green","#00FF00"
