"id","name","latitude","longitude"
1,"Pentagon City Metro Station",38.8627064,-77.0598835
2,"L'Enfant Plaza",38.8862518,-77.0215615
3,"Archives-Navy Memorial-Penn Quarter",38.8938998,-77.0222241
4,"Gallery PL-Chinatown",38.8996535,-77.0218261
5,"Mt Vernon Sq 7th St. Convention Center",38.9053157,-77.0222677
6,"Shaw-Howard Univ. Station",38.914433,-77.021767
7,"U Street/African-Amer. Civil War Memmorial",38.9168267,-77.0291087
8,"Columbia Heights",38.928902,-77.0324405
9,"Georgia Ave. Petworth",38.9369416,-77.0241858
10,"Fort Totten",38.951832,-77.002174
11,"Brookland-CUA",38.933292,-76.99456
12,"Rhode Island Ave. Brentwood",38.920918,-76.995941
13,"NoMa-Gallaudet U New York Ave.",38.907276,-77.003311
14,"Union Station",38.8978452,-77.0070797
15,"Judiciary Square",38.89724,-77.017563
16,"Metro Center",38.8985199,-77.0279031
17,"Rosslyn",38.8958032,-77.0719092
18,"Foggy Bottom-GWU",38.9008696,-77.0504605
19,"Farragut West",38.9014776,-77.0420269
20,"McPherson Square",38.9011403,-77.0322339
21,"Federal Triangle",38.8937735,-77.0283195
22,"Smithsonian",38.8890785,-77.0283703
23,"Federal Center SW",38.8848705,-77.0155625
24,"Capital South Station",38.8856433,-77.0060522
25,"Eastern Market",38.88427,-76.995842
26,"Potomac Ave",38.8807918,-76.985191
27,"Stadium-Armory",38.888302,-76.9770728
28,"Arlington Cemetery",38.8845868,-77.0636416
29,"Benning Road Station",38.8903895,-76.9374473
30,"Capitol Heights",38.8892519,-76.9132115
31,"Addison Road - Seat Plesent",38.8867214,-76.8955426
32,"Waterfront",38.8769746,-77.0175694
33,"Navy Yard-Ballpark",38.8766704,-77.0044419
34,"Anacostia",38.8622178,-76.9951881
35,"Congress Heights Station",38.8450001,-76.9877352
